filename,dmos,ci,br
longdress_pcc_geo_color_l1.ply,2.5,0.010848,0.259833
longdress_pcc_geo_color_l2.ply,3.6818,0.012092,0.732169
longdress_pcc_geo_color_l3.ply,4.0909,0.013144,1.84444
longdress_pcc_geo_color_l4.ply,4.3182,0.014089,4.30011
longdress_cwi_pcl_l1.ply,1.5455,0.011607,0.07
longdress_cwi_pcl_l2.ply,2.2727,0.011943,0.3
longdress_cwi_pcl_l3.ply,3.5455,0.01083,1.43
longdress_cwi_pcl_l4.ply,4.8636,0.011278,11.75
guanyin_pcc_geo_color_l1.ply,2.7727,0.013159,0.240898
guanyin_pcc_geo_color_l2.ply,3.7273,0.013962,0.701073
guanyin_pcc_geo_color_l3.ply,4.3182,0.010552,1.84366
guanyin_pcc_geo_color_l4.ply,4.8636,0.01273,4.30011
guanyin_cwi_pcl_l1.ply,1.4545,0.0090783,0.05
guanyin_cwi_pcl_l2.ply,2.4545,0.013022,0.27
guanyin_cwi_pcl_l3.ply,4.3182,0.014695,1.36
guanyin_cwi_pcl_l4.ply,5.0455,0.007786,11.8
phil_pcc_geo_color_l1.ply,3.2273,0.014423,0.241735
phil_pcc_geo_color_l2.ply,3.9545,0.014145,0.689163
phil_pcc_geo_color_l3.ply,4.3636,0.015924,1.92761
phil_pcc_geo_color_l4.ply,4.7273,0.013323,4.70255
phil_cwi_pcl_l1.ply,3.1818,0.014243,0.34
phil_cwi_pcl_l2.ply,4.0455,0.010627,1.49
phil_cwi_pcl_l3.ply,4.8636,0.01273,5.46
phil_cwi_pcl_l4.ply,5.1364,0.010476,15.57
rhetorician_pcc_geo_color_l1.ply,2.9545,0.012157,0.226213
rhetorician_pcc_geo_color_l2.ply,3.7273,0.0095047,0.602969
rhetorician_pcc_geo_color_l3.ply,4.7273,0.0074479,1.59083
rhetorician_pcc_geo_color_l4.ply,4.6818,0.0087448,3.84825
rhetorician_cwi_pcl_l1.ply,1.1818,0.0053412,0.06
rhetorician_cwi_pcl_l2.ply,2.4091,0.010775,0.27
rhetorician_cwi_pcl_l3.ply,4.4545,0.0080611,1.17
rhetorician_cwi_pcl_l4.ply,4.9091,0.0057691,9.32
